"Venue","Year","DOI","PP","Fig","Type","Notes","Legend","LegendBorder","LegendInside","RotatedXLabels","NonZeroBased","WasteSpace","HeavyGrid","HeavyBackground","SimilarColors","PatternFill","Raster","GridDistinctRanges","Overplotting","DoubleScale","Unlabeled","Deformed","3D","MissingAxesRef","Mislabeled","TooMuchPrecision","Shadow","Cropped","InterruptedScale","SilentLog","AxisRange","TooManyCats","WrappedXLabs","OverlappedLabels","ColorsUncoded"
"ESEM",2017,"10.1109/ESEM.2017.11",NA,"1","Dendrogram","Annotated (hand made?)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.11",NA,"2","Sunburst","Concentric hierarchical donuts, missing percentages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.27",NA,"2","Line","Time series, segmented",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.12",NA,"1","Bar","histogram + mean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.13",NA,"1","Box","useless outer background",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.13",NA,"2","Box","useless outer background",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.13",NA,"3","Box","useless outer background",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.13",NA,"4","Box","useless outer background",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.13",NA,"5","Box","useless outer background",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.14",NA,"1","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.14",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"1","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"3","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"4","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"5","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"6","Code",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"7","Code",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"8","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.15",NA,"9","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.16",NA,"2","Bar, Stacked, PartWhole","Comparing 5 categories",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.16",NA,"3","Bar, Stacked, PartWhole","Comparing 5 categories",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.17",NA,"1","Wordcloud",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.18",NA,"1","bar","distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.18",NA,"2","Bar, Stacked, PartWhole","single",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.18",NA,"3","Bar, Stacked, PartWhole","single",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.18",NA,"4","Bar",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.18",NA,"5","Bar, Stacked, PartWhole","single",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.19",NA,"6","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.19",NA,"7","bar","grouped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"3","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"4","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"5","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"6","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"7","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"8","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.20",NA,"9","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.21",NA,"1","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.21",NA,"2","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.22",NA,"1","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.22",NA,"2","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.22",NA,"3","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.22",NA,"4","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.23",NA,"1","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.23",NA,"2","Bar, Line",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.23",NA,"3","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.24",NA,"2","Line","cdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.25",NA,"2","Bar",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.26",NA,"3","Pie","2 categories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.26",NA,"4","Pie","2 categories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.26",NA,"5","Bar",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.26",NA,"6","Bar",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.28",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.28",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.29",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.29",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.30",NA,"2","Bar",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.31",NA,"1","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.31",NA,"2","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.31",NA,"3","Bar, Stacked, PartWhole","diverging would be better",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.32",NA,"0",NA,"No figure in paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.33",NA,"0",NA,"No figure in paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.34",NA,"1","Line, Parallel coordinates",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.34",NA,"2","Dot, simplex",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.34",NA,"3","Bar","embedded in table",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.35",NA,"1","Violin",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.36",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.36",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.36",NA,"3","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.36",NA,"4","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.37",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.37",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.38",NA,"1","Line","punti e colore troppo chiaro",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.38",NA,"2","Line","punti e colore troppo chiaro",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.38",NA,"3","Line","punti e colore troppo chiaro",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.38",NA,"4","Line,Dot",NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.38",NA,"5","Line,Dot",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.39",NA,"4","Box","raster ma alta risoluzione",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.39",NA,"5","Box","raster ma alta risoluzione",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.39",NA,"6","Box","raster ma alta risoluzione",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.39",NA,"7","Box","raster ma alta risoluzione",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.40",NA,"1","Dots, Box","Scatter with marginal distributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.40",NA,"2","Line","Interaction plot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.41",NA,"4","Box, Bar","Boxplot + Histograms",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.41",NA,"5","Box, Bar","Boxplot + Histograms",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.41",NA,"6","Box, Bar","Boxplot + Histograms",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.42",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.42",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.42",NA,"3","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.42",NA,"4","Screenshot",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.42",NA,"5","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.43",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.44",NA,"5","Line,Dot","Time series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.44",NA,"6","Bar",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.45",NA,"3","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.45",NA,"4","Bar, Stacked","7 categories",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.45",NA,"5","Bar, Stacked","5 castegories",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.46",NA,"2","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.46",NA,"8","Violin, Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.47",NA,"3","Box","Better horizontal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.47",NA,"9","Bar","unlabeled figure!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.48",NA,"1","Line",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.49",NA,"2","Box, Line","double graph, box + ranges",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.49",NA,"3","Box, Line","double graph, bpx + ranges",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.49",NA,"4","Box, Line","double graph, bpx + ranges",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.50",NA,"1","Line","too thick,",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.51",NA,"1","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.51",NA,"2","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.51",NA,"3","Schema",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
